"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"8-Bit Bayonetta","PC","","","","","","","X","","","","2023-04-23","First-Play","00:45:00","--","","--","","00:45:00","","--","","--","","--","--","","Steam","40","","2023-04-23 18:25:58","2023-07-09 11:21:31"
"A Hat in Time","PC","","","","","","","X","","","","2019-04-05","First-Play","--","--","","21:51:00","","--","","--","","--","","--","--","","Steam","80","","2021-07-19 20:30:30","2025-01-03 19:42:02"
"A Story About My Uncle","PC","","","","","","","X","","","2024-10-20","2024-10-22","First-Play","--","1:59:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-10-21 13:37:59","2024-10-30 12:24:20"
"A Way Out","PC","","","","","","","X","","","","2023-05-21","First-Play","6:39:00","6:39:00","Co-op","--","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2023-05-21 22:06:06","2025-06-19 20:33:04"
"ABZÛ","PC","","","","","","","X","","","","2024-04-11","First-Play","--","1:18:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-04-11 16:05:52","2024-04-11 16:52:53"
"Age of War","Browser","","","","","","","X","","","","2021-12-15","Replay","--","00:06:00","","--","","--","","--","","--","","--","--","","","20","","2021-12-15 12:36:39","2023-05-09 23:00:42"
"Air Combat","Emulated","","","","","","","X","","","2025-01-30","2025-02-01","First-Play","--","1:50:00","","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-01-30 11:33:40","2025-02-01 18:47:29"
"Alan Wake","PC","","","","","","","","X","gameplay is boring","","","","00:17:00","--","","--","","--","","--","","--","","--","--","","Steam","0","","2024-10-20 16:55:21","2025-10-26 13:41:04"
"Anomaly Agent","PC","","","","","","","X","","","","2024-01-28","First-Play","5:25:00","--","","5:25:00","Boxes 26/28","--","","--","","--","","--","--","","Steam","60","","2024-01-26 17:10:01","2024-01-28 00:03:36"
"Aperture Desk Job","PC","","","","","","","X","","","","2022-03-02","First-Play","00:32:00","00:32:00","","--","","--","","--","","--","","--","--","","Steam","60","","2022-03-02 00:00:19","2022-10-11 16:25:21"
